"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","男女 コード","男女 補助コード","男女","就業・通学 コード","就業・通学 補助コード","就業・通学","全国，都道府県（常住地） コード","全国，都道府県（常住地） 補助コード","全国，都道府県（常住地）","/全国［総数］，都道府県（従業地・通学地）","総数","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県","従業・通学市区町村「不詳・外国」","従業地・通学地「不詳」"
"2020000000","","2020年","0","","総数","0","","総数","22000","","静岡県","","2,040,697","56","25","32","88","15","20","66","132","90","75","446","416","11,892","11,262","39","34","37","46","1,370","243","168","1,948,796","14,053","154","71","202","270","119","22","5","9","8","17","39","28","12","12","23","10","45","7","3","11","9","7","12","19","6,893","43,289"
"2020000000","","2020年","0","","総数","0","","総数","23000","","愛知県","","4,186,286","137","23","40","118","26","21","84","133","74","85","263","227","3,489","726","58","173","208","223","64","795","44,858","15,604","3,905,794","16,344","735","937","1,667","483","140","50","30","25","107","152","52","20","40","40","25","173","17","29","36","38","18","31","50","31,375","160,449"
"2020000000","","2020年","0","","総数","0","","総数","24000","","三重県","","969,592","28","2","22","38","5","4","20","36","32","13","64","56","552","148","14","15","52","58","11","41","1,479","211","39,524","867,058","1,617","952","4,977","276","2,951","2,329","8","4","55","61","19","15","13","23","6","32","4","9","12","15","6","9","12","7,282","39,422"
"2020000000","","2020年","0","","総数","0","","総数","25000","","滋賀県","","791,323","15","5","2","15","3","12","16","20","14","14","33","35","448","109","11","27","77","973","7","41","1,695","65","1,540","1,598","668,014","56,979","20,451","1,835","548","70","9","7","74","47","16","16","23","24","11","37","3","6","9","8","9","11","8","5,942","30,391"
"2020000000","","2020年","0","","総数","0","","総数","26000","","京都府","","1,266,101","48","13","9","32","5","8","18","42","14","28","63","71","1,071","180","28","48","104","2,009","14","42","135","115","878","989","22,487","1,037,260","89,444","9,593","16,943","232","45","23","152","125","45","45","47","38","31","99","10","18","29","17","13","9","22","12,120","71,290"
"2020000000","","2020年","0","","総数","0","","総数","27000","","大阪府","","4,306,369","185","31","25","116","30","17","83","126","106","62","261","307","3,957","649","75","99","188","455","36","123","248","290","1,917","1,268","10,663","86,787","3,721,947","106,051","27,627","12,974","116","113","618","550","183","183","199","188","176","416","33","58","86","68","57","80","108","53,618","272,816"
"2020000000","","2020年","0","","総数","0","","総数","28000","","兵庫県","","2,814,773","111","26","26","72","15","14","80","91","29","43","134","212","2,686","454","39","53","101","339","24","83","129","156","948","365","2,428","18,709","309,704","2,322,719","2,116","695","1,044","80","4,731","637","134","692","280","143","116","291","46","47","57","42","26","65","75","24,013","119,653"
"2020000000","","2020年","0","","総数","0","","総数","29000","","奈良県","","676,787","29","4","6","21","4","5","15","19","11","12","32","33","563","88","13","24","25","58","3","19","49","38","340","4,122","1,520","19,774","137,932","5,120","470,424","1,670","10","14","65","70","14","30","30","20","8","45","3","6","8","14","6","9","11","7,439","27,012"
"2020000000","","2020年","0","","総数","0","","総数","30000","","和歌山県","","465,902","12","2","4","7","2","2","16","13","8","4","19","26","185","41","8","3","10","36","3","12","17","24","94","1,324","143","567","25,842","877","3,059","412,864","10","8","31","24","20","37","14","18","13","17","2","5","3","7","8","12","3","2,912","17,534"
"2020000000","","2020年","0","","総数","0","","総数","31000","","鳥取県","","302,191","5","1","1","2","1","-","4","5","1","2","10","12","99","29","3","-","5","10","2","3","4","12","18","16","12","58","328","698","2","3","281,752","6,545","885","262","19","7","9","19","8","18","-","2","2","3","1","1","3","1,430","9,879"
