"統計名：","昭和60年国勢調査 第1次基本集計 全国編"
"表番号：","00301"
"表題：","男女の別（性別）（３），年齢５歳階級（２３）人口及び平均年齢・年齢中位数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別"
"実施年月：","1985年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","","","","","","","/年齢５歳Ａ等030125 コード","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025"
"","","","","","","","","","","","","/年齢５歳Ａ等030125 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"全域・集中の別030002 コード","全域・集中の別030002 補助コード","全域・集中の別030002","男女Ａ030001 コード","男女Ａ030001 補助コード","男女Ａ030001","時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国都道府県030001 コード","全国都道府県030001 補助コード","全国都道府県030001","/年齢５歳Ａ等030125","総数【人】","０－４歳【人】","５－９歳【人】","１０－１４歳【人】","１５－１９歳【人】","２０－２４歳【人】","２５－２９歳【人】","３０－３４歳【人】","３５－３９歳【人】","４０－４４歳【人】","４５－４９歳【人】","５０－５４歳【人】","５５－５９歳【人】","６０－６４歳【人】","６５－６９歳【人】","７０－７４歳【人】","７５－７９歳【人】","８０－８４歳【人】","８５－８９歳【人】","９０－９４歳【人】","９５－９９歳【人】","１００歳以上【人】","年齢不詳【人】","平均年齢【歳】","年齢中位数【歳】"
"00700","","全域","000","","男女総数","1985000000","","1985年","30000","","和歌山県","","1,087,206","63,444","72,970","88,794","75,120","59,716","62,166","72,602","90,006","79,266","72,634","76,608","72,673","57,589","46,002","40,366","30,132","17,402","7,467","1,898","243","23","85","37.9","37.5"
"00700","","全域","000","","男女総数","1985000000","","1985年","31000","","鳥取県","","616,024","39,644","43,834","47,190","38,018","31,793","37,651","44,718","49,693","39,652","38,349","42,793","42,664","35,386","27,450","23,562","16,998","10,300","4,784","1,291","208","16","30","38.1","37.3"
"00700","","全域","000","","男女総数","1985000000","","1985年","32000","","島根県","","794,629","47,830","54,546","60,441","48,045","35,181","44,215","53,603","63,029","49,564","50,151","59,192","58,171","48,903","39,022","33,163","24,400","15,301","7,413","2,077","328","40","14","39.4","38.8"
"00700","","全域","000","","男女総数","1985000000","","1985年","33000","","岡山県","","1,916,906","117,195","133,274","158,747","132,105","108,765","113,741","130,529","163,956","139,742","122,436","130,275","121,176","95,133","75,702","70,037","52,359","32,365","14,799","3,680","567","46","277","37.4","36.9"
"00700","","全域","000","","男女総数","1985000000","","1985年","34000","","広島県","","2,819,200","173,882","201,324","239,953","199,980","167,218","172,891","204,377","255,125","215,566","182,806","181,000","166,357","134,523","105,777","90,849","64,375","38,487","18,162","4,931","820","54","743","36.3","36.0"
"00700","","全域","000","","男女総数","1985000000","","1985年","35000","","山口県","","1,601,627","93,505","109,857","130,561","107,065","81,492","89,412","110,238","136,792","115,185","106,479","114,546","106,627","87,600","69,421","59,498","42,579","25,416","11,559","3,235","483","46","31","38.0","37.7"
"00700","","全域","000","","男女総数","1985000000","","1985年","36000","","徳島県","","834,889","50,416","56,047","63,599","53,340","44,506","50,606","61,595","70,621","54,855","53,993","60,146","58,725","45,471","35,601","31,047","22,969","13,679","5,888","1,490","232","15","48","38.1","37.4"
"00700","","全域","000","","男女総数","1985000000","","1985年","37000","","香川県","","1,022,569","60,517","71,643","82,535","66,643","53,177","60,271","71,873","92,295","71,010","65,059","70,258","67,519","53,917","42,722","38,358","28,077","16,564","7,594","2,033","309","39","156","37.8","37.3"
"00700","","全域","000","","男女総数","1985000000","","1985年","38000","","愛媛県","","1,529,983","92,926","107,828","125,204","102,366","82,191","91,418","108,834","129,959","104,024","97,869","104,369","102,142","82,796","63,106","54,275","40,902","24,425","11,593","3,164","533","46","13","37.6","36.9"
"00700","","全域","000","","男女総数","1985000000","","1985年","39000","","高知県","","839,784","48,751","55,515","64,314","50,392","42,059","48,308","58,051","70,935","57,236","52,923","59,477","59,482","49,304","38,236","32,596","24,053","16,092","8,053","2,290","404","35","1,278","39.0","38.4"
"00700","","全域","000","","男女総数","1985000000","","1985年","40000","","福岡県","","4,719,259","306,991","343,016","378,204","342,883","317,477","308,341","365,801","416,262","334,287","307,450","306,046","274,396","217,327","164,710","140,900","99,663","58,836","26,720","7,276","1,022","101","1,550","35.7","35.0"
"00700","","全域","000","","男女総数","1985000000","","1985年","41000","","佐賀県","","880,013","59,649","65,870","70,595","59,880","50,628","55,777","65,495","67,952","53,764","53,710","58,606","57,126","46,585","36,106","31,726","23,788","14,317","6,427","1,730","233","26","23","36.9","35.8"
"00700","","全域","000","","男女総数","1985000000","","1985年","42000","","長崎県","","1,593,968","107,372","119,645","134,806","112,969","85,871","101,841","121,120","126,037","98,392","99,800","106,829","101,629","83,908","64,456","53,151","39,252","23,115","10,413","2,800","390","28","144","36.5","35.5"
"00700","","全域","000","","男女総数","1985000000","","1985年","43000","","熊本県","","1,837,747","119,835","129,938","139,300","123,296","108,014","118,412","136,825","144,151","113,903","115,740","126,315","121,205","98,797","77,780","64,964","49,499","29,939","14,800","4,226","594","53","161","37.4","36.4"
"00700","","全域","000","","男女総数","1985000000","","1985年","44000","","大分県","","1,250,214","76,190","90,373","99,939","82,862","65,415","75,150","90,038","102,982","83,742","79,962","87,530","83,962","68,248","53,339","45,799","33,090","19,626","9,126","2,412","338","16","75","37.6","37.0"
"00700","","全域","000","","男女総数","1985000000","","1985年","45000","","宮崎県","","1,175,543","80,629","91,668","97,787","75,329","59,500","76,702","90,843","96,671","74,627","74,748","80,871","76,084","59,242","47,515","38,863","27,440","16,963","7,565","2,106","274","21","95","36.5","35.8"
"00700","","全域","000","","男女総数","1985000000","","1985年","46000","","鹿児島県","","1,819,270","121,977","130,965","140,212","120,072","94,444","115,714","133,622","132,058","105,253","110,958","125,848","125,154","105,287","85,015","71,524","51,226","30,868","14,015","4,187","741","62","68","37.9","36.8"
"00700","","全域","000","","男女総数","1985000000","","1985年","47000","","沖縄県","","1,179,097","100,880","106,521","115,122","96,362","79,747","91,989","104,833","87,010","65,457","71,624","65,359","52,306","39,432","32,298","26,070","19,782","13,138","6,947","2,986","651","75","508","32.1","29.9"
"00700","","全域","001","","男","1985000000","","1985年","00000","","全国","","59,497,316","3,818,777","4,373,058","5,146,970","4,600,427","4,165,995","3,948,330","4,558,265","5,398,230","4,551,877","4,092,121","3,926,414","3,409,374","2,379,902","1,781,008","1,503,595","1,017,428","542,243","203,321","46,517","5,765","372","27,327","34.5","34.1"
"00700","","全域","001","","男","1985000000","","1985年","00001","","全国市部","","45,793,045","2,926,519","3,327,100","3,970,425","3,659,654","3,459,523","3,128,759","3,541,115","4,233,323","3,613,795","3,195,514","2,970,343","2,481,223","1,699,431","1,258,014","1,060,969","705,498","367,306","134,221","29,818","3,582","226","26,687","34.0","33.5"
"00700","","全域","001","","男","1985000000","","1985年","00002","","全国郡部","","13,704,271","892,258","1,045,958","1,176,545","940,773","706,472","819,571","1,017,150","1,164,907","938,082","896,607","956,071","928,151","680,471","522,994","442,626","311,930","174,937","69,100","16,699","2,183","146","640","36.4","36.0"
"00700","","全域","001","","男","1985000000","","1985年","01000","","北海道","","2,766,296","180,019","207,356","236,038","209,552","183,074","181,763","221,540","247,804","198,446","189,084","190,166","165,329","117,754","88,156","69,628","45,579","23,514","8,442","2,013","250","13","776","34.6","34.3"
"00700","","全域","001","","男","1985000000","","1985年","02000","","青森県","","731,439","50,740","57,670","64,759","56,297","43,594","48,763","58,340","63,307","48,960","48,609","50,613","44,208","31,485","23,330","19,731","12,361","6,159","2,038","418","42","4","11","34.4","33.8"
"00700","","全域","001","","男","1985000000","","1985年","03000","","岩手県","","691,740","46,496","53,055","57,957","49,177","37,865","44,532","53,883","56,722","45,545","46,634","49,544","46,969","33,080","25,221","20,982","13,600","7,205","2,596","600","72","5","***","35.7","35.2"
"00700","","全域","001","","男","1985000000","","1985年","04000","","宮城県","","1,071,741","75,465","83,395","87,623","82,129","78,421","74,427","87,835","92,844","73,469","68,776","68,668","63,292","45,737","32,794","25,855","17,530","8,760","3,104","752","88","6","771","34.0","33.2"
"00700","","全域","001","","男","1985000000","","1985年","05000","","秋田県","","599,591","38,012","44,374","45,887","38,862","29,484","38,568","47,518","51,091","39,160","41,057","45,517","43,566","31,394","24,723","19,221","12,350","6,146","2,096","470","47","4","44","36.8","36.5"
"00700","","全域","001","","男","1985000000","","1985年","06000","","山形県","","609,417","39,947","44,713","46,231","39,353","32,282","39,353","47,923","50,929","39,426","39,991","43,837","43,775","32,580","24,759","20,961","13,470","6,989","2,375","429","57","3","34","36.8","36.3"
"00700","","全域","001","","男","1985000000","","1985年","07000","","福島県","","1,012,456","72,049","79,496","83,596","68,495","56,750","68,032","81,828","84,726","66,147","63,899","68,493","67,596","49,970","36,859","29,598","19,906","10,407","3,660","812","110","4","23","35.4","34.8"
"00700","","全域","001","","男","1985000000","","1985年","08000","","茨城県","","1,357,963","91,351","106,860","122,797","100,436","83,676","89,802","109,581","124,035","106,775","93,231","84,113","76,583","53,859","40,460","34,786","22,783","11,459","4,117","956","117","4","182","34.2","33.9"
"00700","","全域","001","","男","1985000000","","1985年","09000","","栃木県","","924,221","63,604","72,825","82,395","65,395","53,368","62,379","76,501","86,483","68,406","59,862","58,353","54,605","38,913","29,126","24,286","16,152","8,080","2,787","585","75","2","39","34.4","34.2"
"00700","","全域","001","","男","1985000000","","1985年","10000","","群馬県","","947,013","61,603","71,944","83,907","70,292","54,620","59,637","73,347","88,122","73,064","63,031","60,818","57,167","40,076","31,198","26,343","18,033","9,564","3,412","731","87","5","12","35.0","34.9"
"00700","","全域","001","","男","1985000000","","1985年","11000","","埼玉県","","2,961,591","187,173","230,728","290,378","254,721","211,778","183,048","225,677","292,747","271,606","230,545","184,450","135,076","87,630","64,421","52,802","33,335","16,662","5,511","1,111","118","6","2,068","32.6","32.9"
"00700","","全域","001","","男","1985000000","","1985年","12000","","千葉県","","2,588,365","167,868","200,135","243,768","209,072","180,059","167,198","201,114","254,894","228,412","195,149","164,812","125,575","81,861","60,661","49,564","32,200","17,110","6,163","1,301","160","5","1,284","33.1","33.3"
"00700","","全域","001","","男","1985000000","","1985年","13000","","東京都","","5,955,029","317,664","340,759","429,744","486,528","651,784","493,686","480,999","541,672","456,616","407,708","383,221","304,900","211,901","155,608","131,305","86,161","46,661","17,199","3,871","517","32","6,493","34.2","32.7"
"00700","","全域","001","","男","1985000000","","1985年","14000","","神奈川県","","3,804,081","228,254","264,549","325,258","316,946","339,124","278,027","298,911","362,441","321,083","278,705","240,321","189,221","122,924","88,092","71,518","43,674","22,419","8,090","1,861","212","15","2,436","33.1","32.7"
"00700","","全域","001","","男","1985000000","","1985年","15000","","新潟県","","1,205,071","78,121","90,294","98,254","84,035","64,237","75,738","93,462","105,498","82,898","81,016","83,687","80,508","58,608","45,684","38,121","26,328","13,012","4,303","1,020","114","12","121","36.1","35.8"
"00700","","全域","001","","男","1985000000","","1985年","16000","","富山県","","538,955","32,485","39,830","47,944","38,655","27,333","30,498","37,845","51,129","41,167","35,882","36,928","34,654","26,115","20,755","18,070","11,467","5,808","1,894","431","46","4","15","36.3","36.5"
"00700","","全域","001","","男","1985000000","","1985年","17000","","石川県","","557,664","36,025","42,934","51,148","41,528","35,496","34,462","40,194","53,257","41,665","34,214","34,287","32,150","24,687","19,723","16,605","11,148","5,524","1,920","458","47","2","190","34.9","34.7"
"00700","","全域","001","","男","1985000000","","1985年","18000","","福井県","","397,115","26,333","29,760","33,891","27,442","23,002","25,238","29,597","34,836","27,921","24,879","26,933","26,388","18,084","14,352","12,312","8,997","4,929","1,746","417","42","2","14","35.9","35.4"
"00700","","全域","001","","男","1985000000","","1985年","19000","","山梨県","","407,910","25,500","29,239","33,499","32,050","26,511","25,455","29,947","33,934","28,782","26,588","26,784","26,178","19,369","15,256","12,729","8,967","4,863","1,767","422","63","2","5","35.9","35.3"
"00700","","全域","001","","男","1985000000","","1985年","20000","","長野県","","1,038,070","64,821","77,041","87,248","72,279","54,602","62,033","72,860","87,072","75,979","67,715","70,459","70,879","54,901","40,674","34,924","24,655","13,667","5,066","1,061","123","7","4","36.7","36.5"
"00700","","全域","001","","男","1985000000","","1985年","21000","","岐阜県","","986,919","63,461","75,705","90,637","76,516","56,832","57,878","69,576","88,695","75,244","68,480","66,806","61,385","42,044","32,100","27,190","18,918","10,521","3,858","892","106","5","70","35.1","35.2"
"00700","","全域","001","","男","1985000000","","1985年","22000","","静岡県","","1,759,455","116,703","134,157","156,146","129,208","102,284","115,944","136,460","161,254","139,099","124,804","117,731","104,057","70,742","51,916","43,765","30,646","16,356","6,218","1,455","214","10","286","34.6","34.6"
"00700","","全域","001","","男","1985000000","","1985年","23000","","愛知県","","3,228,724","210,054","238,798","292,832","269,930","249,186","219,022","239,504","301,641","268,592","232,886","204,901","165,088","106,631","79,443","68,956","45,554","23,244","8,338","1,830","211","9","2,074","33.3","32.9"
"00700","","全域","001","","男","1985000000","","1985年","24000","","三重県","","847,420","53,153","62,592","74,798","63,561","50,415","50,686","58,938","74,180","64,912","58,784","59,467","55,843","34,872","27,591","24,927","17,883","10,080","3,761","811","83","5","78","35.6","35.6"
"00700","","全域","001","","男","1985000000","","1985年","25000","","滋賀県","","568,735","40,456","46,432","51,960","42,036","35,204","35,848","42,646","52,152","43,888","36,976","35,921","33,635","21,596","16,773","14,890","10,523","5,323","1,911","403","51","4","107","34.1","33.9"
"00700","","全域","001","","男","1985000000","","1985年","26000","","京都府","","1,264,035","78,003","90,433","108,176","103,145","110,240","78,497","87,585","115,800","97,253","83,890","80,392","68,800","46,037","35,929","33,974","25,753","13,415","5,094","1,006","114","7","492","34.4","33.8"
"00700","","全域","001","","男","1985000000","","1985年","27000","","大阪府","","4,286,445","265,482","300,495","383,777","366,474","343,536","280,740","315,846","402,338","366,528","323,228","285,086","219,627","142,082","101,065","86,389","57,878","28,739","9,978","1,989","183","8","4,977","33.5","33.3"
